2001fal 0.4325 0.4226 0.5200  99.32  99.38  85.21  66.42 0.4150 0.4304 0.4766 102.64 100.89  88.13  74.37 
0102win 0.4761 0.4776 0.5205 107.42 106.20  93.40  72.14 0.3689 0.3845 0.4214  98.55  97.29  85.52  70.49 
2002spr 0.3411 0.3328 0.4195  99.26  99.32  83.67  63.43 0.4373 0.4150 0.4312 115.97 117.30 104.45  85.08 
2002sum 0.3755 0.3414 0.4245  76.05  76.60  65.63  47.47 0.4389 0.4461 0.5002 119.34 117.67 101.46  87.43 
2002fal 0.4240 0.4253 0.5160 101.01 100.10  85.72  67.27 0.4230 0.4095 0.4411 104.73 105.36  93.95  76.76 
0203win 0.4705 0.4727 0.5320 110.98 109.51  96.23  71.89 0.3966 0.3657 0.4041  91.34  93.20  81.96  67.49 
2003spr 0.4288 0.4345 0.4950  92.42  91.45  79.60  59.42 0.3891 0.3748 0.4136 114.52 114.31  99.26  80.04 
2003sum 0.4241 0.4209 0.4843  70.63  70.24  61.59  43.55 0.4337 0.4347 0.5082 119.76 118.31 101.92  79.18 
2003fal 0.4524 0.4390 0.5415 104.17 103.90  86.83  67.38 0.4004 0.3948 0.4346 104.85 104.32  90.49  69.34 
0304win 0.4303 0.4340 0.5152 111.37 109.01  93.24  70.68 0.3555 0.3740 0.4199  97.48  95.13  83.76  61.67 
2000sum 0.2407 0.2083 0.2668  78.81  81.09  67.60  52.91 0.2757 0.2968 0.3401 134.07 134.49 107.87 103.39 
2000fal 0.2964 0.2845 0.3776 108.61 109.94  89.26  77.55 0.2273 0.2320 0.3045 117.80 117.42  91.36  89.37 
0001win 0.3558 0.3702 0.4695 114.91 114.39  92.59  79.22 0.2515 0.2464 0.3188 108.21 107.74  85.49  78.80 
2001spr 0.2551 0.2713 0.3695 104.38 103.20  84.71  67.70 0.2932 0.3055 0.3585 123.65 122.75 101.17  89.13 
2001sum 0.3080 0.3001 0.3850  77.45  77.89  66.79  47.18 0.2787 0.2790 0.3062 126.84 125.99 109.43  85.13 
2001fal 0.3539 0.3412 0.4633 106.65 107.30  89.52  69.80 0.3488 0.3583 0.4337 107.06 106.93  90.60  75.32 
0102win 0.3977 0.4016 0.4492 115.69 114.37  98.62  76.72 0.2974 0.3135 0.3576 104.17 103.08  89.65  71.56 
